matched_brand,matched_brand_key,matched_company_candidate,top9_group,ownership_resolution_status,needs_manual_review_from_matrix,product_name,barcode,current_normalized_brand,current_brand_entity_raw,current_brand_entity_source,current_resolved_company,query_category,primary_country,observed_market_region_codes,image_url,off_brands_raw,match_rule,review_decision_blank,review_note_blank
Gourmet,gourmet,Nestle,Nestlé,direct,no,"Gourmet pumpkin chocolate chip muffins, pumpkin chocolate chip",40697700234,unknown,unknown,first_off_brand_token_fallback,Other / not mapped to a company,snacks,United States,US_CANADA,,,product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,"Gourmet queijo de cabra curado, aged goat cheese",5602527589423,unknown,unknown,first_off_brand_token_fallback,Other / not mapped to a company,dairies,United States,US_CANADA,,,product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,Gourmet quinoa chips snack,764218652351,simply 7,simply 7,first_off_brand_token_fallback,Other / not mapped to a company,snacks,France,FRANCE|US_CANADA,https://images.openfoodfacts.org/images/products/076/421/865/2351/front_fr.4.400.jpg,Simply 7,product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,"Gourmet raisin bran with oats muffins, raisin bran",40697740483,unknown,unknown,first_off_brand_token_fallback,Other / not mapped to a company,snacks,United States,US_CANADA,,,product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,Gourmet raisin cookies,746590010691,unknown,unknown,first_off_brand_token_fallback,Other / not mapped to a company,snacks,United States,US_CANADA,,,product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,Gourmet rice snacks,37578616005,shearers foods llc,shearers foods llc,first_off_brand_token_fallback,Other / not mapped to a company,snacks,United States,US_CANADA,https://images.openfoodfacts.org/images/products/003/757/861/6005/front_en.5.400.jpg,Shearer's Foods Llc.,product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,"Gourmet rice snacks, sundried tomato mediterranean herbs & cheese",37578616968,shearers foods llc,shearers foods llc,first_off_brand_token_fallback,Other / not mapped to a company,snacks,United States,US_CANADA,,Shearer's Foods Llc.,product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,Gourmet rice treat pop with candy sprinkles,681131234603,unknown,unknown,first_off_brand_token_fallback,Other / not mapped to a company,snacks,United States,US_CANADA,,,product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,Gourmet select popcorn,811627020483,gourmet select,gourmet select,first_off_brand_token_fallback,Other / not mapped to a company,snacks,United States,US_CANADA,,Gourmet Select,product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,"Gourmet select, dipped pretzel chips, white chocolate",811627020414,gourmet select,gourmet select,first_off_brand_token_fallback,Other / not mapped to a company,snacks,United States,US_CANADA,,"Gourmet Select, Gourmet Gift Concepts",product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,"Gourmet select, holiday popcorn tin",811627020094,gourmet select,gourmet select,first_off_brand_token_fallback,Other / not mapped to a company,snacks,United States,US_CANADA,,"Gourmet Select, Gourmet Gift Concepts",product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,"Gourmet select, holiday popcorn tin",811627021466,gourmet select,gourmet select,first_off_brand_token_fallback,Other / not mapped to a company,snacks,United States,US_CANADA,,"Gourmet Select, Gourmet Gift Concepts",product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,"Gourmet select, holiday popcorn tin, caramel",811627020933,gourmet select,gourmet select,first_off_brand_token_fallback,Other / not mapped to a company,snacks,United States,US_CANADA,,"Gourmet Select, Gourmet Gift Concepts",product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,"Gourmet select, holiday popcorn tin, caramel, cheese & butter",811627020919,gourmet select,gourmet select,first_off_brand_token_fallback,Other / not mapped to a company,snacks,United States,US_CANADA,,"Gourmet Select, Gourmet Gift Concepts",product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,"Gourmet select, holiday popcorn, caramel, cheese & butter",811627020117,gourmet select,gourmet select,first_off_brand_token_fallback,Other / not mapped to a company,snacks,United States,US_CANADA,,"Gourmet Select, Gourmet Gift Concepts",product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,"Gourmet select, holiday sugar cookies",811627021190,unknown,unknown,first_off_brand_token_fallback,Other / not mapped to a company,snacks,United States,US_CANADA,,,product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,"Gourmet select, premium air popped popcorn, white cheddar",811627020377,gourmet select,gourmet select,first_off_brand_token_fallback,Other / not mapped to a company,snacks,United States,US_CANADA,,"Gourmet Select, Gourmet Gift Concepts",product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,"Gourmet select, pretzel chips, chcolate",811627020407,gourmet select,gourmet select,first_off_brand_token_fallback,Other / not mapped to a company,snacks,United States,US_CANADA,,"Gourmet Select, Gourmet Gift Concepts",product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,"Gourmet select, pretzel chips, chocolate",811627020544,gourmet select,gourmet select,first_off_brand_token_fallback,Other / not mapped to a company,snacks,United States,US_CANADA,,"Gourmet Select, Gourmet Gift Concepts",product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,"Gourmet select, pretzel crackers dipped in a white chocolate flavoring",811627020537,gourmet select,gourmet select,first_off_brand_token_fallback,Other / not mapped to a company,snacks,United States,US_CANADA,,"Gourmet Select, Gourmet Gift Concepts",product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,"Gourmet select, supreme caramel corn",811627021220,gourmet select,gourmet select,first_off_brand_token_fallback,Other / not mapped to a company,snacks,United States,US_CANADA,,"Gourmet Select, Gourmet Gift Concepts",product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,Gourmet sharp cheddar,41303007952,unknown,unknown,first_off_brand_token_fallback,Other / not mapped to a company,dairies,United States,US_CANADA,,,product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,Gourmet smoked salmon & bermuda onion cream cheese spread,58940723152,unknown,unknown,first_off_brand_token_fallback,Other / not mapped to a company,dairies,United States,US_CANADA,,,product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,Gourmet snack bar,35900291838,unknown,unknown,first_off_brand_token_fallback,Other / not mapped to a company,snacks,United States,US_CANADA,,,product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,Gourmet soda,45243001438,sprecher brewing company inc,sprecher brewing company inc,first_off_brand_token_fallback,Other / not mapped to a company,beverages,United States,US_CANADA,,Sprecher Brewing Company Inc.,product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,Gourmet soda,45243001445,sprecher brewing company inc,sprecher brewing company inc,first_off_brand_token_fallback,Other / not mapped to a company,beverages,United States,US_CANADA,,Sprecher Brewing Company Inc.,product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,Gourmet soda,746742900887,jelly belly,jelly belly,first_off_brand_token_fallback,Other / not mapped to a company,beverages,United States,US_CANADA,,"Jelly Belly, Wit Group",product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,Gourmet sour chewy gummies,844911005316,unknown,unknown,first_off_brand_token_fallback,Other / not mapped to a company,snacks,United States,US_CANADA,,,product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,Gourmet sour chewy gummies,844911005712,unknown,unknown,first_off_brand_token_fallback,Other / not mapped to a company,snacks,United States,US_CANADA,,,product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,Gourmet sour chewy gummies,844911005880,unknown,unknown,first_off_brand_token_fallback,Other / not mapped to a company,snacks,United States,US_CANADA,,,product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,Gourmet spreadable cheese,4099100145403,unknown,unknown,first_off_brand_token_fallback,Other / not mapped to a company,dairies,United States,US_CANADA,https://images.openfoodfacts.org/images/products/409/910/014/5403/front_en.3.400.jpg,,product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,Gourmet spreadable cheese,44529144180,dairyfood usa inc,dairyfood usa inc,first_off_brand_token_fallback,Other / not mapped to a company,dairies,United States,US_CANADA,,Dairyfood Usa Inc.,product_name_starts_exactly_with_top9_portfolio_brand,,
Gourmet,gourmet,Nestle,Nestlé,direct,no,Gourmet spreadable cheese,70153091293,unknown,unknown,first_off_brand_token_fallback,Other / not mapped to a company,dairies,United States,US_CANADA,,,product_name_starts_exactly_with_top9_portfolio_brand,,
