merge_action,normalized_brand,parent_company,ownership_resolution_status,category_scope,region_codes_include,review_product_count,review_decision,candidate_action
appended_new,Lay's,PepsiCo,direct,snacks,FRANCE|DACH|NORDICS,1,map to PepsiCo,append_candidate
appended_new,Lay's,PepsiCo,direct,snacks,FRANCE|BENELUX,1,map to PepsiCo,append_candidate
appended_new,lindt excellence,Lindt & Sprüngli,direct,snacks,NORDICS|FRANCE|SOUTHERN_EUROPE|DACH|UK_IE,1,map to Lindt & Sprüngli,append_candidate
appended_new,lindt excellence,Lindt & Sprüngli,direct,snacks,FRANCE|US_CANADA,1,map to Lindt & Sprüngli,append_candidate
appended_new,lindt excellence,Lindt & Sprüngli,direct,snacks,FRANCE|DACH,1,map to Lindt & Sprüngli,append_candidate
appended_new,lindt excellence,Lindt & Sprüngli,direct,snacks,DACH|BENELUX|FRANCE|SOUTHERN_EUROPE|UK_IE,1,map to Lindt & Sprüngli,append_candidate
appended_new,lindt excellence,Lindt & Sprüngli,direct,snacks,BENELUX|FRANCE|DACH|UK_IE|SOUTHERN_EUROPE,1,map to Lindt & Sprüngli,append_candidate
appended_new,lindt,Lindt & Sprüngli,direct,snacks,UK_IE|US_CANADA,1,map to Lindt & Sprüngli,append_candidate
appended_new,lindt,Lindt & Sprüngli,direct,snacks,NORDICS|FRANCE|UK_IE,1,map to Lindt & Sprüngli,append_candidate
appended_new,lindt,Lindt & Sprüngli,direct,snacks,NORDICS|FRANCE|DACH|UK_IE,1,map to Lindt & Sprüngli,append_candidate
appended_new,lindt,Lindt & Sprüngli,direct,snacks,NORDICS|FRANCE|DACH,1,map to Lindt & Sprüngli,append_candidate
appended_new,lindt,Lindt & Sprüngli,direct,snacks,NORDICS|FRANCE|BENELUX|SOUTHERN_EUROPE|UK_IE,1,map to Lindt & Sprüngli,append_candidate
appended_new,lindt,Lindt & Sprüngli,direct,snacks,NORDICS|DACH|UK_IE,1,map to Lindt & Sprüngli,append_candidate
appended_new,Lay's,PepsiCo,direct,snacks,BENELUX|FRANCE|DACH|SOUTHERN_EUROPE|UK_IE|US_CANADA,1,map to PepsiCo,append_candidate
appended_new,Lay's,PepsiCo,direct,dairies,US_CANADA,1,map to PepsiCo,append_candidate
appended_new,Lay's,PepsiCo,direct,dairies,FRANCE,1,map to PepsiCo,append_candidate
appended_new,Lay's,PepsiCo,direct,dairies,BENELUX|FRANCE,1,map to PepsiCo,append_candidate
appended_new,KitKat,Nestlé,market_scoped,snacks,NORDICS|FRANCE,1,approve proposed,append_candidate
appended_new,KitKat,Nestlé,market_scoped,snacks,DACH|FRANCE|SOUTHERN_EUROPE,1,approve proposed,append_candidate
appended_new,KitKat,Nestlé,market_scoped,snacks,DACH|FRANCE,1,approve proposed,append_candidate
appended_new,lion,Nestlé,direct,snacks,FRANCE|DACH|BENELUX|SOUTHERN_EUROPE,1,map to Nestlé,append_candidate
appended_new,lion,Nestlé,direct,snacks,FRANCE|BENELUX|SOUTHERN_EUROPE,1,map to Nestlé,append_candidate
appended_new,lion,Nestlé,direct,snacks,BENELUX|NORDICS|FRANCE,1,map to Nestlé,append_candidate
appended_new,lion,Nestlé,direct,cereals,FRANCE|US_CANADA,1,map to Nestlé,append_candidate
appended_new,lion,Nestlé,direct,cereals,FRANCE|DACH,1,map to Nestlé,append_candidate
appended_new,lion,Nestlé,direct,cereals,DACH|FRANCE,1,map to Nestlé,append_candidate
appended_new,lion,Nestlé,direct,beverages,US_CANADA,1,map to Nestlé,append_candidate
appended_new,Monster Energy,Monster Beverage Corp,direct,beverages,BENELUX|UK_IE,1,approve proposed,append_candidate
appended_new,Monster Energy,Monster Beverage Corp,direct,beverages,BENELUX|FRANCE|SOUTHERN_EUROPE,1,approve proposed,append_candidate
appended_new,Fuze Tea,The Coca-Cola Company,direct,beverages,BENELUX|FRANCE|DACH,1,map to The Coca-Cola Company,append_candidate
appended_new,marque repere delisse,E.Leclerc,direct,dairies,FRANCE,1,map to E.Leclerc,append_candidate
appended_new,marque repere,E.Leclerc,direct,snacks,FRANCE|US_CANADA,1,map to E.Leclerc,append_candidate
appended_new,marque repere,E.Leclerc,direct,snacks,FRANCE|DACH|SOUTHERN_EUROPE,1,map to E.Leclerc,append_candidate
appended_new,lion,Nestlé,direct,snacks,NORDICS|FRANCE|DACH,1,map to Nestlé,append_candidate
appended_new,lion,Nestlé,direct,snacks,FRANCE|NORDICS,1,map to Nestlé,append_candidate
appended_new,KitKat,Nestlé,market_scoped,snacks,BENELUX|NORDICS|FRANCE|SOUTHERN_EUROPE|UK_IE,1,approve proposed,append_candidate
appended_new,KitKat,Nestlé,market_scoped,dairies,FRANCE,1,approve proposed,append_candidate
appended_new,KitKat,Nestlé,market_scoped,cereals,UK_IE,1,approve proposed,append_candidate
appended_new,KitKat,Nestlé,market_scoped,cereals,FRANCE,1,approve proposed,append_candidate
appended_new,KitKat,Nestlé,market_scoped,beverages,FRANCE,1,approve proposed,append_candidate
appended_new,Häagen-Dazs,General Mills,market_scoped,snacks,BENELUX|FRANCE|DACH,1,approve proposed,append_candidate
appended_new,Häagen-Dazs,General Mills,market_scoped,snacks,BENELUX|FRANCE,1,approve proposed,append_candidate
appended_new,Häagen-Dazs,General Mills,market_scoped,dairies,FRANCE|DACH,1,approve proposed,append_candidate
appended_new,Häagen-Dazs,General Mills,market_scoped,dairies,BENELUX|FRANCE|DACH,1,approve proposed,append_candidate
appended_new,Gatorade,PepsiCo,direct,snacks,FRANCE|US_CANADA,1,map to PepsiCo,append_candidate
appended_new,Fitness,Nestlé,direct,cereals,BENELUX|FRANCE,1,map to Nestlé,append_candidate
appended_new,Fitness,Nestlé,direct,beverages,FRANCE,1,map to Nestlé,append_candidate
appended_new,monoprix,Monoprix,direct,dairies,FRANCE|DACH,1,map to Monoprix,append_candidate
appended_new,monoprix,Monoprix,direct,beverages,FRANCE|DACH,1,map to Monoprix,append_candidate
appended_new,marque repere les croises,E.Leclerc,direct,dairies,FRANCE,1,map to E.Leclerc,append_candidate
appended_new,marque repere leclerc jafaden,E.Leclerc,direct,beverages,US_CANADA,1,map to E.Leclerc,append_candidate
appended_new,marque repere leclerc,E.Leclerc,direct,dairies,FRANCE,1,map to E.Leclerc,append_candidate
appended_new,marque repere leclerc,E.Leclerc,direct,beverages,FRANCE,1,map to E.Leclerc,append_candidate
appended_new,marque repere epi d or,E.Leclerc,direct,snacks,FRANCE,1,map to E.Leclerc,append_candidate
appended_new,Gatorade,PepsiCo,direct,beverages,SOUTHERN_EUROPE|US_CANADA,1,map to PepsiCo,append_candidate
appended_new,Gatorade,PepsiCo,direct,beverages,DACH|FRANCE,1,map to PepsiCo,append_candidate
appended_new,Fuze Tea,The Coca-Cola Company,direct,beverages,US_CANADA,1,map to The Coca-Cola Company,append_candidate
appended_new,Fuze Tea,The Coca-Cola Company,direct,beverages,FRANCE|SOUTHERN_EUROPE|DACH,1,map to The Coca-Cola Company,append_candidate
appended_new,Fuze Tea,The Coca-Cola Company,direct,beverages,DACH|UK_IE,1,map to The Coca-Cola Company,append_candidate
appended_new,Fuze Tea,The Coca-Cola Company,direct,beverages,DACH|FRANCE,1,map to The Coca-Cola Company,append_candidate
appended_new,Fuze Tea,The Coca-Cola Company,direct,beverages,BENELUX|FRANCE|SOUTHERN_EUROPE,1,map to The Coca-Cola Company,append_candidate
appended_new,Fanta,The Coca-Cola Company,direct,beverages,FRANCE|US_CANADA,1,map to The Coca-Cola Company,append_candidate
appended_new,Fanta,The Coca-Cola Company,direct,beverages,FRANCE|SOUTHERN_EUROPE|US_CANADA,1,map to The Coca-Cola Company,append_candidate
appended_new,Fanta,The Coca-Cola Company,direct,beverages,FRANCE|NORDICS|SOUTHERN_EUROPE|US_CANADA,1,map to The Coca-Cola Company,append_candidate
appended_new,Fanta,The Coca-Cola Company,direct,beverages,FRANCE|DACH|UK_IE,1,map to The Coca-Cola Company,append_candidate
appended_new,Fanta,The Coca-Cola Company,direct,beverages,FRANCE|DACH|BENELUX,1,map to The Coca-Cola Company,append_candidate
appended_new,paturage,Les Mousquetaires / Intermarché,direct,dairies,BENELUX|FRANCE|DACH,1,map to Les Mousquetaires / Intermarché,append_candidate
appended_new,paturage,Les Mousquetaires / Intermarché,direct,dairies,BENELUX|FRANCE,1,map to Les Mousquetaires / Intermarché,append_candidate
appended_new,nestle dessert,Nestlé,direct,cereals,FRANCE,1,map to Nestlé,append_candidate
appended_new,nestle dessert,Nestlé,direct,beverages,FRANCE,1,map to Nestlé,append_candidate
appended_new,monoprix ptit prix,Monoprix,direct,beverages,FRANCE,1,map to Monoprix,append_candidate
appended_new,monoprix gourmetmonoprix,Monoprix,direct,dairies,FRANCE,1,map to Monoprix,append_candidate
appended_new,monoprix gourmet,Monoprix,direct,dairies,FRANCE|SOUTHERN_EUROPE,1,map to Monoprix,append_candidate
appended_new,Fitness,Nestlé,direct,snacks,BENELUX|FRANCE,1,map to Nestlé,append_candidate
appended_new,Fitness,Nestlé,direct,cereals,US_CANADA,1,map to Nestlé,append_candidate
appended_new,Fitness,Nestlé,direct,cereals,BENELUX|FRANCE|SOUTHERN_EUROPE|DACH,1,map to Nestlé,append_candidate
appended_new,Fitness,Nestlé,direct,cereals,BENELUX|FRANCE|DACH|SOUTHERN_EUROPE,1,map to Nestlé,append_candidate
appended_new,Fanta,The Coca-Cola Company,direct,beverages,DACH|BENELUX|FRANCE|SOUTHERN_EUROPE|UK_IE,1,map to The Coca-Cola Company,append_candidate
appended_new,Fanta,The Coca-Cola Company,direct,beverages,DACH|BENELUX|FRANCE|NORDICS,1,map to The Coca-Cola Company,append_candidate
appended_new,Fanta,The Coca-Cola Company,direct,beverages,DACH|BENELUX|FRANCE,1,map to The Coca-Cola Company,append_candidate
appended_new,Fanta,The Coca-Cola Company,direct,beverages,BENELUX|NORDICS|FRANCE,1,map to The Coca-Cola Company,append_candidate
appended_new,Fanta,The Coca-Cola Company,direct,beverages,BENELUX|FRANCE|UK_IE,1,map to The Coca-Cola Company,append_candidate
appended_new,Fanta,The Coca-Cola Company,direct,beverages,BENELUX|FRANCE|SOUTHERN_EUROPE|UK_IE,1,map to The Coca-Cola Company,append_candidate
appended_new,Fanta,The Coca-Cola Company,direct,beverages,BENELUX|FRANCE|NORDICS|DACH,1,map to The Coca-Cola Company,append_candidate
appended_new,Fanta,The Coca-Cola Company,direct,beverages,BENELUX|FRANCE|DACH|SOUTHERN_EUROPE,1,map to The Coca-Cola Company,append_candidate
appended_new,Fanta,The Coca-Cola Company,direct,beverages,BENELUX|FRANCE|DACH,1,map to The Coca-Cola Company,append_candidate
appended_new,paturages comtois,Les Mousquetaires / Intermarché,direct,dairies,FRANCE|BENELUX,1,map to Les Mousquetaires / Intermarché,append_candidate
appended_new,paturages bio intermarche,Les Mousquetaires / Intermarché,direct,dairies,FRANCE,1,map to Les Mousquetaires / Intermarché,append_candidate
appended_new,paturages,Les Mousquetaires / Intermarché,direct,dairies,UK_IE,1,map to Les Mousquetaires / Intermarché,append_candidate
appended_new,paturages,Les Mousquetaires / Intermarché,direct,dairies,FRANCE|US_CANADA,1,map to Les Mousquetaires / Intermarché,append_candidate
appended_new,paturages,Les Mousquetaires / Intermarché,direct,dairies,FRANCE|BENELUX,1,map to Les Mousquetaires / Intermarché,append_candidate
appended_new,Fanta,The Coca-Cola Company,direct,beverages,NORDICS|FRANCE|SOUTHERN_EUROPE,1,map to The Coca-Cola Company,append_candidate
appended_new,Fanta,The Coca-Cola Company,direct,beverages,NORDICS|FRANCE|DACH,1,map to The Coca-Cola Company,append_candidate
