brand_entity_raw,normalized_brand,brand_alias_source,brand_alias_review_status,brand_entity_source,primary_country,observed_market_region_codes,query_category,product_count,example_product_names,example_off_brands_raw
lu,LU,curated_mechanical_brand_alias,confirmed,existing_company_brand_mapping_token_match,Algeria,FRANCE,snacks,4,Croustille | Croustille goût Lait carousel | Gaufrette Croustillé au Goût de crème Noisette | Prince,"Lu | lu,mondelez | LU | LU"
pirate s booty,Pirate's Booty,top9_portfolio_brand_alias,confirmed,existing_company_brand_mapping_token_match,United States,US_CANADA,dairies,4,Aged White Cheddar | Pirate& booty aged white cheddar puffs | Aged White Cheddar Rice & Corn Puffs | Aged white cheddar,Pirate's Booty | Pirate's Booty | Pirate's Booty | Pirates booty
coca cola,Coca-Cola,curated_mechanical_brand_alias,confirmed,first_off_brand_token_fallback,Belgium,BENELUX|FRANCE|DACH|SOUTHERN_EUROPE,beverages,4,Coca-Cola Zero Zero | Coca-Cola | Zero calories Zero caffeine Zerosugar | Coca-Cola,Coca-Cola | Coca-Cola | Coca-Cola | Coca-Cola
coke,Coca-Cola,curated_mechanical_brand_alias,confirmed,first_off_brand_token_fallback,France,FRANCE,beverages,4,Caffeine free coke | Coca cola | Coke Soft Drink Diet Citurs Zest | Coca Cola sans sucre sans caféine,Coke | Coke | Coke | Coke
ice breakers,Ice Breakers,top9_portfolio_brand_alias,confirmed,existing_company_brand_mapping_token_match,France,FRANCE|US_CANADA,snacks,4,Pure Baby Wipes | Ice Breakers Wintergreen disc | Ice breakers DUO | Ice Breakers,Ice Breakers | Ice Breakers | ice breakers | Ice Breakers
Quaker Oats,Quaker,curated_mechanical_brand_alias,confirmed,existing_company_brand_mapping_token_match,United Kingdom,UK_IE,cereals,4,Quaker Oat So Simple Big Bowl Original Porridge | Quakers perfect blends multi grain porridge | Original | Oat so simple,"Quaker Oats | Quaker Oats, Quaker | Quaker Oats So Simple | Quaker Oats, Quaker"
cote d or,Cote d'Or,top9_portfolio_brand_alias,confirmed,existing_company_brand_mapping_token_match,France,FRANCE|DACH,snacks,4,Côte d’Or Lait Caramel | Chocolat lait noisettes feuilleté praliné | Dessert noir | Cote d'or brut 86%,Côte d’Or | Côté d’or | Côte d'Or | Côte d'Or
Nescafé,Nescafé Dolce Gusto,curated_mechanical_brand_alias,confirmed,existing_company_brand_mapping_token_match,Belgium,BENELUX|FRANCE|DACH,beverages,3,Capsules NESCAFE DOLCE GUSTO Lungo Decaffeinato Boîte de 16 capsules | Cappuccino | Capsules NESCAFE DOLCE GUSTO Latte Macchiato 30 capsules,"Nestle norge, Dolce gusto, Nescafe | Nescafé, Nescafé Dolce Gusto | Dolce gusto,Nescafe"
Quaker Oats,Quaker,curated_mechanical_brand_alias,confirmed,existing_company_brand_mapping_token_match,France,FRANCE,cereals,3,"Muesli amandes, noisettes & raisins | Quaker Oats Oat Granola Honey & Almond | Flocons d'avoine",Quaker Oats | Quaker Oats | Quaker Oats
after eight,After Eight,curated_mechanical_brand_alias,confirmed,existing_company_brand_mapping_token_match,France,FRANCE|SOUTHERN_EUROPE,snacks,3,Chocolate After eight sabor menta | Nestle After Eight Classic | AFTER EIGHT Fraise 400g,"After eight | Nestlé, After Eight | Nestlé, After eight"
cheetos,Cheetos,top9_portfolio_brand_alias,confirmed,existing_company_brand_mapping_token_match,Belgium,BENELUX|FRANCE,snacks,3,Doritos Nacho Cheese | Doritos Pure Paprika | Goût fromage,"Cheetos, Doritos | Cheetos, Doritos | Cheetos"
tate's bake shop,Tate’s Bake Shop,curated_mechanical_brand_alias,confirmed,existing_company_brand_mapping_token_match,France,FRANCE|US_CANADA,snacks,3,White chocolate macadamia nut cookies | Double Chocolate Chip Cookies | Chocolate Chip Cookies,Tate's Bake Shop | Tate's Bake Shop | Tate's Bake Shop
nestle dessert,Nestlé Dessert,curated_mechanical_brand_alias,confirmed,existing_company_brand_mapping_token_match,Belgium,BENELUX|FRANCE|DACH,snacks,3,Chocolat Noir dessert | Chocolat noir pour préparation pâtissière | Nestlé dessert Noir,"Nestlé,Nestlé Dessert | Nestlé, Nestlé dessert, Tablettes | Nestlé, NESTLE DESSERT, Tablettes"
clif bar,Clif,curated_mechanical_brand_alias,confirmed,existing_company_brand_mapping_token_match,Australia,US_CANADA,snacks,3,Chocolate Chip Clif Bar | Chocolate Brownie | Cool Mint Chocolate Natural Flavour Energy Bar,CLIF BAR | CLIF Bar | Clif Bar
clif bar,Clif,curated_mechanical_brand_alias,confirmed,existing_company_brand_mapping_token_match,Austria,DACH|FRANCE|UK_IE,snacks,3,Chocolate Chip | Crunchy Peanut Butter | White Chocolate Macadamia Nut,Clif Bar | Clif Bar | Clif Bar
clif bar,Clif,curated_mechanical_brand_alias,confirmed,existing_company_brand_mapping_token_match,Canada,US_CANADA|FRANCE,snacks,3,CRUNCHY PEANUT BUTTER | Bar clif crunchy peanut butter | Chocolate Chip Energy Bar Nutritional Supplement,CLIF BAR | clif bar | Clif Bar
hershey's,Hershey’s,curated_mechanical_brand_alias,confirmed,existing_company_brand_mapping_token_match,Bolivia,US_CANADA,snacks,3,Hershey's 25% Less Sugar Semi-Sweet Chocolate Chips | Zero Sugar Chocolate Candy | Special Dark,Hershey's | Hershey's | Hershey's
