normalized_brand,legacy_primary_brand,primary_brand,brand_entity_raw,brand_entity_source,brand_alias_source,brand_alias_review_status,query_category,primary_country,observed_market_region_codes,current_company,proposed_company,proposed_ownership_resolution_status,proposed_mapping_source,proposed_review_note,proposed_matched_mapping_brand,company_mapping_would_change,normalized_brand_is_top9_portfolio,product_count,example_product_names,example_off_brands_raw
yoplait,perle de lait non blanc,perle de lait non blanc,yoplait,existing_company_brand_mapping_token_match,existing_company_brand_mapping_alias,confirmed,dairies,France,FRANCE,Other / not mapped to a company,General Mills,direct,company_brand_mapping.csv,US yogurt business; European Yoplait ownership is different,yoplait,True,False,24,"Spécialité laitière sucrée, aromatisée à la vanille | Spécialité laitière sucrée au citron, aromatisée | Spécialité laitière sucrée, aromatisée | Spécialité laitière sucrée, aromatisée à la vanille | Spécialité laitière sucrée, au citron, aromatisée","Perle de lait non blanc, Yoplait | Perle de lait non blanc, Yoplait | Perle de lait non blanc, Yoplait | Perle de lait non blanc, Yoplait | Perle de lait non blanc, Yoplait"
yoplait,yop,yop,yoplait,existing_company_brand_mapping_token_match,existing_company_brand_mapping_alias,confirmed,dairies,France,FRANCE,Other / not mapped to a company,General Mills,direct,company_brand_mapping.csv,US yogurt business; European Yoplait ownership is different,yoplait,True,False,24,"Yop, Fraise | Yop litchi | Yop Vanille | Yop, Parfum Fraise-Banane | Yop, Parfum Framboise (Offre Economique)","Yop, Yoplait | Yop, Yoplait | Yop, Yoplait | Yop, Yoplait | Yop,Yoplait"
boursin,bel,bel,boursin,existing_company_brand_mapping_token_match,existing_company_brand_mapping_alias,confirmed,dairies,France,FRANCE,Other / not mapped to a company,Bel Group,direct,company_brand_mapping.csv,Cheese/spread brand,boursin,True,False,22,"Boursin Apéritif Les roulés Jambon fumé Poivre | Tomate, Oignon & Ciboulette (39,5 % MG) | Boursin® Salade Figue & apéritif | Boursin® Echalote & Ciboulette Portion x10 | Boursin® Figues et 3 Noix Portion x10","Bel, Boursin, Boursin aperitif | Bel, Boursin | Bel, Boursin, Boursin salade | Bel, Boursin, Boursin atartiner/core cheese | Bel, Boursin, Boursin atartiner/core cheese"
Coca-Cola,coke,coke,coke,first_off_brand_token_fallback,curated_mechanical_brand_alias,confirmed,beverages,United States,US_CANADA,Other / not mapped to a company,The Coca-Cola Company,direct,top_company_brand_portfolio_matrix.csv,Wholly Owned Brand IP; Exception-matrix row only; complete official brand universe not yet supplied for this company,coca cola,True,True,21,coke | Diet coke | Cherry coke | Diet Coke - 6pk/16.9 fl oz Bottles | Diet Coke Caffeine Free - Bottles,Coke | Coke | Coke | Coke | Coke
st môret,fromarsac,fromarsac,st môret,existing_company_brand_mapping_token_match,existing_company_brand_mapping_alias,confirmed,dairies,France,FRANCE,Other / not mapped to a company,Savencia,direct,company_brand_mapping.csv,Fresh cheese/spread brand,st moret,True,False,21,"St Môret Léger 8% MG | St Môret Bio | St Moret Bio - offre découverte | St Moret Léger - format familial | St Môret® Le Goût Primeur (17,8% MG)","Fromarsac, Savencia, St Moret | Fromarsac, Savencia, St Môret | Fromarsac, Savencia, St Moret | Fromarsac, Savencia, St Moret | Fromarsac, Savencia, St Môret"
quaker,cruesli,cruesli,quaker,existing_company_brand_mapping_token_match,existing_company_brand_mapping_alias,confirmed,cereals,France,FRANCE,Other / not mapped to a company,PepsiCo,direct,company_brand_mapping.csv,"Oats, hot cereals, granola and cereal-adjacent products",quaker,True,False,20,Cruesli Chocolat | Cruesli au chocolat (Offre Spéciale) | Cruesli chocolat au lait | Cruesli 4 Noix (Format 600 g) | Cruesli chocolat au lait (format familial),"Cruesli, Quaker | Cruesli, PepsiCo, Quaker | Cruesli, PepsiCo, Quaker | Cruesli, PepsiCo, Quaker | Cruesli, PepsiCo, Quaker"
Fuze Tea,fuzetea,fuzetea,fuze tea,existing_company_brand_mapping_token_match,top9_portfolio_brand_alias,confirmed,beverages,France,FRANCE,Other / not mapped to a company,The Coca-Cola Company,direct,top_company_brand_portfolio_matrix.csv,Wholly Owned Tea Asset; Exception-matrix row only; complete official brand universe not yet supplied for this company,fuze tea,True,True,19,fuzetea | Fuzetea thé glacé pêche intense | Tea pêche | Fuzetea pomme cannelle | Fuzetea Peach,fuzetea | Fuzetea | Fuzetea | Fuzetea | Fuzetea
casino bio,casino bio,casino,casino bio,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,dairies,France,FRANCE,Manual review / complex ownership,Groupe Casino,direct,layer3_review_decision_20260824,Obvious Casino retailer/private-label brand line.,casino bio,True,False,19,Emmental Bio | Faiselle lait entier Bio | Crème dessert au chocolat Bio | Lait demi-écrémé | Lait entier,"Casino Bio | Casino Bio | Casino BIO, Groupe Casino | Casino BIO, Groupe Casino | Casino bio"
saveurs de nos regions,lidl,lidl,saveurs de nos regions,existing_company_brand_mapping_token_match,existing_company_brand_mapping_alias,confirmed,dairies,France,FRANCE,Lidl,Carrefour,direct,company_brand_mapping.csv,Carrefour regional flavors range,saveurs de nos regions,True,False,19,Beurre aux cristaux de sel | Sainte - Maure de Touraine | Comté au lait cru | Raclette de savoie au lait cru | Reblochon,"Lidl, Saveurs de nos régions | Lidl, Saveurs De Nos Régions | Lidl, saveurs de nos régions | Lidl, Saveurs de nos Régions | Lidl, Saveurs de Nos Régions"
simply indulgent gourmet,simply indulgent gourmet,simply,simply indulgent gourmet,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,snacks,United States,US_CANADA,The Coca-Cola Company,Other / not mapped to a company,unresolved,no_mapping_match,,,True,False,19,"Simply indulgent gourmet, glazed cookies, cranberry & orange | Simply indulgent gourmet, traditional biscuits | Simply indulgent gourmet, cookies, chocolate peppermint | Simply indulgent gourmet, brownie crisp cookies | Simply indulgent gourmet, crisps cookies, peanut brittle","Simply Indulgent Gourmet, Cresent Manufacturing | Simply Indulgent Gourmet, Too Good Gourmet Inc. | Simply Indulgent Gourmet, Too Good Gourmet Inc. | Simply Indulgent Gourmet, Too Good Gourmet Inc. | Simply Indulgent Gourmet, Too Good Gourmet Inc."
