review_decision,review_note,normalized_brand,query_category,primary_country,observed_market_region_codes,current_company,proposed_company,proposed_ownership_resolution_status,company_mapping_would_change,product_count,example_product_names,example_off_brands_raw
,,auvergnatcola,beverages,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Auvergnat Cola Zero | Auvergnat Cola,Auvergnatcola | AUVERGNATCOLA
,,aux brebis delices,dairies,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Yaourt fermier de brebis lit de mangue | Yaourt fermier de brebis lit de pêche,Aux Brebis Délices | Aux Brebis Délices
,,aux caprices de jess,beverages,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Capri Sun Fruit Crush Tropical 75%jce | Capri Sun multivitamine poche,Aux caprices de jess | Aux caprices de jess
,,aux delices laitiers,dairies,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Préparation pour crème brulée | Panna cotta,Aux Délices Laitiers | Aux Délices Laitiers
,,avant,beverages,United Kingdom,UK_IE,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,natural mineral water | Avant natural mineral water,avant | Avant
,,aviateur,snacks,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,spéculoos | Tartelettes aux pommes,Aviateur | Aviateur
,,avitae,beverages,United States,US_CANADA,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Caffeine + water | Caffeine + water,Avitae | Avitae
,,aviva,snacks,United States,US_CANADA,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Soda crackers | Soda Crackers,Aviva | Aviva
,,avonmore,dairies,France,FRANCE|UK_IE,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Avonmore Milk 2 Litre | Super Milk,Avonmore | Avonmore
,,awreys bakery,snacks,United States,US_CANADA,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Gluten-Free Graham Cracker Mix | Ginger Snap Cookie Mix,Awrey's Bakery | Awrey's Bakery
,,azienda agricola,dairies,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Fromage frais à pâte filée | Perles De Bufflonne,"Azienda agricola, Azienda agricola Ponte Reale, Ponte Reale, Rega | Azienda Agricola, Azienda agricola Ponte Reale, Rega"
,,azienda agricola ponte reale,dairies,France,FRANCE|BENELUX,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Mozzarella di Bufala Campana | Mozzarelline,"Azienda agricola Ponte Reale,Ponte Reale,Rega | Azienda agricola Ponte Reale, Ponte Reale, Rega"
,,b and c,snacks,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Galettes fines | Wafer Choc,"B&C, Biscuits & Cookies | B&C, Biscuits & Cookies"
,,b and me,snacks,France,FRANCE|SOUTHERN_EUROPE,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Organic rice crackers black pepper | Crackers fins de riz Bio - Tamari,B&Me | B&Me
,,b io,beverages,France,FRANCE|SOUTHERN_EUROPE,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,b.iO puntoio | Vin italien,b.iO | b.iO
,,b1,snacks,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,tarte citron meringuée | Brioche Pur Beurre,b1 | B1
,,baby ruth,snacks,United States,US_CANADA,Manual review / complex ownership,Manual review / complex ownership,manual_review,False,2,"Baby Ruth | Dry Roasted Peanuts, Rich Caramel And Smooth Nougat Bars, Dry Roasted Peanuts, Rich Caramel And Smooth Nougat",Baby Ruth | Baby ruth
,,babybel,dairies,Australia,FRANCE,Manual review / complex ownership,Manual review / complex ownership,manual_review,False,2,Mini Babybel | Babybel,Babybel | Babybel
,,babybel,dairies,Belgium,BENELUX|FRANCE,Manual review / complex ownership,Manual review / complex ownership,manual_review,False,2,12 Mini Babybel | Babybel,"Babybel | Babybel, Bel"
,,babybel,dairies,Belgium,BENELUX|FRANCE|DACH,Manual review / complex ownership,Manual review / complex ownership,manual_review,False,2,Mini Babybel (23 % MG) x 6 | Babybel Moelleux & Généreux,"Babybel, Bel | Babybel, Bel"
,,babybel,dairies,France,FRANCE|SOUTHERN_EUROPE,Manual review / complex ownership,Manual review / complex ownership,manual_review,False,2,Original Babybel | Babybel,"Babybel | Babybel,Bel"
,,babybel,dairies,Germany,DACH|UK_IE,Manual review / complex ownership,Manual review / complex ownership,manual_review,False,2,Mini-Babybel Original | PLANT BASED SNACK,"Babybel, Bel | Babybel"
,,babylove,beverages,France,FRANCE|DACH,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Bio Früchte tee,Babylove | Babylove
,,bacardi martini,beverages,France,FRANCE|DACH,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Martini Bianco | Get 31,"BACARDI-MARTINI, Martini | BACARDI-MARTINI, GET"
,,back roads food company llc,snacks,United States,US_CANADA,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Organic Coconut Crunch Granola | Organic Coconut Ginger Granola,"Back Roads Food Company Llc, Back Roads Granola | Back Roads Food Company Llc, Back Roads Granola"
,,back to nature,beverages,United States,US_CANADA,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,100% juice | 100% juice,"back to NATURE, Back To Nature Foods Company Llc | Back To Nature, Back To Nature Foods Company Llc"
,,back to nature,cereals,France,FRANCE|US_CANADA,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Gluten Free Classic Granola | Gluten Free Cranberry Pecan Granola,Back To Nature | Back To Nature
,,back to nature foods company llc,cereals,United States,US_CANADA,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Granola | Granola,Back To Nature Foods Company Llc | Back To Nature Foods Company Llc
,,backyard salsa llc,snacks,United States,US_CANADA,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,"Tortilla Chips | Coop's, Pretzels",Backyard Salsa Llc | Backyard Salsa Llc
,,bagley,snacks,Argentina,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Surtido | Sonrisas,Bagley | Bagley
,,bagley,snacks,Argentina,FRANCE|SOUTHERN_EUROPE,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,chocolinas | Chocolinas Original,"Bagley | Bagley,Chocolinas"
,,bagley,snacks,Argentina,US_CANADA,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Surtido Bagley | Milk Caramel Spread Filled Sandwich Cookies With Chocolate Flavored Coating,Bagley | Bagley
,,bahadourian,beverages,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Thé à la menthe | Baies de Genièvre Entières,Bahadourian | Bahadourian
,,bahadourian,snacks,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Corne de gazelle par 3 | Caramel beurre salé,Bahadourian | Bahadourian
,,bahlsen,snacks,Belgium,BENELUX|FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Pick-up | PiCK UP! Choco,"BAHLSEN | Bahlsen, PiCK UP !"
,,bahlsen,snacks,France,FRANCE|DACH|SOUTHERN_EUROPE,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,"PICK UP! CHOCO 6x28G - BAHLSEN - 168g | Süßes, Kekse Hobbits kernig","Bahlsen, PiCK UP ! | Bahlsen, Brandt"
,,bahlsen,snacks,Germany,DACH|US_CANADA,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Pick up Original 5er-Pack | Hit - Nuts,Bahlsen | Bahlsen
,,bahlsen inc,snacks,United States,US_CANADA,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,"Bahlsen, Fine European Biscuits - Biscuit Assortment | Bahlsen, Pfeffernusse Cookies Covered With Chocolate","Bahlsen Inc., Bahlsen | Bahlsen Inc., Bahlsen"
