parent_company_source,official_brand_name,canonical_brand,brand_key,default_assigned_company,default_relationship_type,regional_exception_flag,exception_region_code,exception_region_name,exception_assigned_company,exception_relationship_type,ownership_resolution_status,market_scope,category_scope,source_1_nestle_official_brand_list,source_2_regional_exception_matrix,notes
Nestlé,Maxibon,Maxibon,maxibon,Nestlé,Official Nestlé brand,yes,GLOBAL,Global,Froneri (Nestlé JV),Joint Venture,market_scoped,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,C:/Users/julia/OneDrive/Desktop/Downloads_temp/nestle_brand_regional_exception_matrix.csv,Exception file assigns Maxibon to Froneri
Nestlé,Merrick,Merrick,merrick,Nestlé,Official Nestlé brand,no,,,,,direct,Global,petcare,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope
Nestlé,Milkybar,Milkybar,milkybar,Nestlé,Official Nestlé brand,no,,,,,direct,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list
Nestlé,Milo,Milo,milo,Nestlé,Official Nestlé brand,no,,,,,direct,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list
Nestlé,Minor's,Minor's,minors,Nestlé,Official Nestlé brand,no,,,,,direct,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list
Nestlé,Molico,Molico,molico,Nestlé,Official Nestlé brand,no,,,,,direct,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list
Nestlé,Mövenpick,Mövenpick,movenpick,Nestlé,Official Nestlé brand,yes,GLOBAL,Global,Froneri (Nestlé JV),Joint Venture,market_scoped,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,C:/Users/julia/OneDrive/Desktop/Downloads_temp/nestle_brand_regional_exception_matrix.csv,Exception file row is Mövenpick (Ice Cream); matrix canonicalized to official brand Mövenpick
Nestlé,Munch,Munch,munch,Nestlé,Official Nestlé brand,no,,,,,direct,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list
Nestlé,Nałęczowianka,Nałęczowianka,naleczowianka,Nestlé,Official Nestlé brand,no,,,,,direct,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list
Nestlé,Nancare,Nancare,nancare,Nestlé,Official Nestlé brand,no,,,,,direct,Global,health_science,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope
Nestlé,Nescafé,Nescafé,nescafe,Nestlé,Official Nestlé brand,no,,,,,direct,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list
Nestlé,Nescafé Dolce Gusto,Nescafé Dolce Gusto,nescafe dolce gusto,Nestlé,Official Nestlé brand,no,,,,,direct,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list
Nestlé,Nespresso,Nespresso,nespresso,Nestlé,Official Nestlé brand,no,,,,,direct,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list
Nestlé,Nesquik,Nesquik,nesquik,Nestlé,Official Nestlé brand,no,,,,,direct,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list
Nestlé,Nesquik Cereal,Nesquik Cereal,nesquik cereal,Nestlé,Official Nestlé brand,yes,North America,US & Canada,General Mills,Market-scoped cereal ownership,market_scoped,US & Canada,food_beverage,https://www.nestle.com/brands/brandssearchlist,C:/Users/julia/OneDrive/Desktop/Downloads_temp/nestle_brand_regional_exception_matrix.csv,Exception file assigns Nesquik Cereal North America to General Mills
Nestlé,Nesquik Cereal,Nesquik Cereal,nesquik cereal,Nestlé,Official Nestlé brand,yes,ROW,Rest of World,Cereal Partners Worldwide (Nestlé/General Mills JV),Joint Venture,market_scoped,Rest of World,food_beverage,https://www.nestle.com/brands/brandssearchlist,C:/Users/julia/OneDrive/Desktop/Downloads_temp/nestle_brand_regional_exception_matrix.csv,Exception file assigns Nesquik Cereal ROW to CPW
Nestlé,Nestea,Nestea,nestea,Nestlé,Official Nestlé brand,no,,,,,direct,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list
Nestlé,Nestlé Pure Life,Nestlé Pure Life,nestle pure life,Nestlé,Official Nestlé brand,no,,,,,direct,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list
Nestlé,Nestlé Sustainably Sourced Cocoa,Nestlé Sustainably Sourced Cocoa,nestle sustainably sourced cocoa,Nestlé,Official Nestlé brand,no,,,,,direct,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list
Nestlé,Nestlé Vital,Nestlé Vital,nestle vital,Nestlé,Official Nestlé brand,no,,,,,direct,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list
Nestlé,Nestum,Nestum,nestum,Nestlé,Official Nestlé brand,no,,,,,direct,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list
Nestlé,Nesvita,Nesvita,nesvita,Nestlé,Regional exception brand,yes,GLOBAL,Global,Cereal Partners Worldwide (Nestlé/General Mills JV),Joint Venture,market_scoped,Global,food_beverage,,C:/Users/julia/OneDrive/Desktop/Downloads_temp/nestle_brand_regional_exception_matrix.csv,Exception file brand not observed in official Nestlé A-Z extract used today
Nestlé,Nido,Nido,nido,Nestlé,Official Nestlé brand,no,,,,,direct,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list
Nestlé,Orgain,Orgain,orgain,Nestlé,Official Nestlé brand,no,,,,,direct,Global,health_science,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list
Nestlé,Ovaltine,Ovaltine,ovaltine,Nestlé,Regional exception brand,yes,US,United States,Nestlé,Licensed,market_scoped,US,food_beverage,,C:/Users/julia/OneDrive/Desktop/Downloads_temp/nestle_brand_regional_exception_matrix.csv,Exception file brand not observed in official Nestlé A-Z extract used today
