barcode,product_name,brands,primary_brand,query_category,off_categories,countries,observed_market_region_codes,image_url,energy_kcal_off_raw,energy_kcal,fat_100g_off_raw,fat_100g,saturated_fat_100g_off_raw,saturated_fat_100g,carbs_100g_off_raw,carbs_100g,sugars_100g_off_raw,sugars_100g,fiber_100g_off_raw,fiber_100g,protein_100g_off_raw,protein_100g,salt_100g_off_raw,salt_100g,nutrition_quality_status,outlier_type,include_in_product_table,include_in_aggregates,include_in_charts,nutrition_quality_reason
3760207190191,La ferme de mont st cyr,la ferme du mont st cyr,la ferme du mont st cyr,dairies,"Produits laitiers, Produits fermentés, Produits laitiers fermentés, Fromages, Produits artisanaux, Fromages au lait cru, Fromages artisanaux, Fromages fermiers",en:france,FRANCE,https://images.openfoodfacts.org/images/products/376/020/719/0191/front_fr.3.400.jpg,1137.0,,22.0,22.0,15.4,15.4,1.0,1.0,1.0,1.0,0.0,0.0,18.0,18.0,1.5,1.5,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal
3760363791430,,,unknown,snacks,Bonbons,en:france,FRANCE,https://images.openfoodfacts.org/images/products/376/036/379/1430/front_fr.8.400.jpg,1434.0,,0.1,0.1,0.1,0.1,78.0,78.0,48.0,48.0,,,5.2,5.2,0.2,0.2,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal
3760388780129,Matcha cérémonie,amoseeds,amoseeds,beverages,Thés verts japonais,en:france,FRANCE,https://images.openfoodfacts.org/images/products/376/038/878/0129/front_fr.23.400.jpg,1324.0,,5.3,5.3,0.7,0.7,1.0,1.0,0.0,0.0,38.5,38.5,29.6,29.6,0.01,0.01,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal
3770001102801,Bonbon miel,,unknown,snacks,"Snacks, Snacks sucrés, Confiseries, Produits de la ruche, Bonbons, Bonbons au miel",en:france,FRANCE,,1385.0,,1.0,1.0,0.0,0.0,76.0,76.0,56.0,56.0,,,4.0,4.0,0.0,0.0,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal
3770005113001,Toucan,toucan,toucan,beverages,"Boissons, Boissons alcoolisées, Boissons distillés, Alcools forts, Eaux-de-vie, Rhums, Rhums français, Rhum des départements français d'outre-mer",en:france,FRANCE,,1200.0,,1.0,1.0,1.0,1.0,70.0,70.0,99.0,99.0,0.0,0.0,0.0,0.0,23.0,23.0,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal
3770016166119,Chocolat Noir Bio 70% & Cristaux d'Agrumes,maison bonange,maison bonange,snacks,"Snacks, Snacks sucrés, Cacao et dérivés, Surgelés, Chocolats, Chocolats noirs",en:france,FRANCE,https://images.openfoodfacts.org/images/products/377/001/616/6119/front_fr.13.400.jpg,5666.0,,40.5,40.5,25.0,25.0,36.4,36.4,28.7,28.7,9.4,9.4,9.1,9.1,0.0,0.0,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal
3800113702030,Fromage kashkaval,,unknown,dairies,en:cheeses,en:france,FRANCE,https://images.openfoodfacts.org/images/products/380/011/370/2030/front_fr.3.400.jpg,1552.0,,30.0,30.0,20.0,20.0,1.2,1.2,1.2,1.2,,,24.0,24.0,2.5,2.5,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal
4000539398803,Double Style Chocolate,lindt,lindt,snacks,"Snacks, Sweet snacks, Bars, en:milk-chocolates",en:france|en:italy,FRANCE|SOUTHERN_EUROPE,https://images.openfoodfacts.org/images/products/400/053/939/8803/front_en.10.400.jpg,1502.7027027027,,35.0,35.0,18.0,18.0,50.0,50.0,45.0,45.0,,,8.4,8.4,0.36,0.36,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal
4008400524023,Kinder Osterhase - Harry Hase,ferrero,ferrero,snacks,"Snacks, Sweet snacks, Cocoa and its products, Confectioneries, Festive foods, Chocolate candies, Chocolates, Chocolate molds, Easter-food, Chocolate-rabbits, en:chocolate-eggs",en:france|en:germany,FRANCE|DACH,https://images.openfoodfacts.org/images/products/400/840/052/4023/front_de.52.400.jpg,1052.72727272727,,36.2,36.2,24.1,24.1,53.9,53.9,53.6,53.6,,,8.8,8.8,0.31,0.31,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal
4056489173700,Irish Mature White Cheddar Cheese,rathdaragh,rathdaragh,dairies,"Dairies, Fermented foods, Fermented milk products, Cheeses, Cow cheeses, Cheeses from the United Kingdom, Cheeses from England, Cheddar cheese, Mature cheddar",en:ireland|en:united-kingdom,UK_IE,https://images.openfoodfacts.org/images/products/405/648/917/3700/front_en.15.400.jpg,1285.0,,34.9,34.9,21.7,21.7,0.1,0.1,0.1,0.1,,,25.4,25.4,1.81,1.81,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal
