review_rank,review_priority_bucket,review_priority_reason,review_suggestion,reviewer_decision,reviewer_note,barcode,product_name,brand,company,region,category,image_url,nutrition_quality_status,nutrition_quality_reason,energy_kcal_100g,energy_kcal_macro_calculated_100g,energy_kcal_macro_diff_abs,energy_kcal_macro_diff_pct,energy_kcal_macro_diff_pct_abs,protein_g_100g,carbs_g_100g,fat_g_100g,sugars_g_100g,saturated_fat_g_100g,fiber_g_100g,salt_g_100g,protein_g_per_100kcal,carbs_g_per_100kcal,fat_g_per_100kcal,include_in_product_explorer,include_in_market_overview_calculations,include_in_market_overview_charts
31,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,5410221205194,Schweppes Zero agrumes,schweppes,Coca-Cola,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/541/022/120/5194/front_fr.17.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,2.3,1.2,1.1,0.4782608695652173,0.4782608695652173,0.0,0.3,0.0,0.3,0.0,,0.0,0.0,13.043478260869565,0.0,True,False,False
32,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,8722700129523,Lipton Thé Vert Classique Goût Léger & Subtil 50 Sachets,lipton,LIPTON Teas and Infusions,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/872/270/012/9523/front_fr.40.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,4.0,2.0,2.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,True,False,False
33,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,5400141393071,Sirop grenadine-cranberry 0%,boni,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/540/014/139/3071/front_fr.25.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,13.0,5.6,7.4,0.5692307692307692,0.5692307692307692,0.0,1.4,0.0,0.5,0.0,3.6,0.25,0.0,10.769230769230768,0.0,True,False,False
34,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,3245677720678,Grande,auchan,Auchan,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/324/567/772/0678/front_en.15.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,1.0,0.4,0.6,0.6,0.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,True,False,False
35,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,3760324842096,Thé vert menthe,la fourche,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/376/032/484/2096/front_fr.5.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,1.0,0.4,0.6,0.6,0.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,True,False,False
36,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,5060229013675,Tisane Bio Amour Pukka,pukka,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/506/022/901/3675/front_fr.22.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,1.0,0.4,0.6,0.6,0.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,True,False,False
37,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,5449000294821,Fanta sans sucre,fanta,Coca-Cola,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/544/900/029/4821/front_fr.26.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,1.0,0.4,0.6,0.6,0.6,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,10.0,0.0,True,False,False
38,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,5449000040350,Thé noir glacé saveur framboise menthe,fuze tea,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/544/900/004/0350/front_fr.42.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,2.0,0.8,1.2,0.6,0.6,0.0,0.2,0.0,0.2,0.0,,0.6,0.0,10.0,0.0,True,False,False
39,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,5400113544913,Sirop peche 0%,delhaize,Ahold Delhaize,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/540/011/354/4913/front_fr.11.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,16.0,6.1,9.9,0.61875,0.61875,0.1,1.2,0.1,0.4,0.1,,0.1,0.625,7.5,0.625,True,False,False
40,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,5400601101635,Lemon juice from concentrate,365,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/540/060/110/1635/front_en.22.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,24.0,8.9,15.1,0.6291666666666667,0.6291666666666667,0.3,1.7,0.1,1.7,0.0,,0.0,1.25,7.083333333333333,0.4166666666666667,True,False,False
